"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Running","Run","","","","2020-09-04","","2221","229","391","200.308","","0.242777779698372","2.66000008583069","","76","","","","","","0.785512039998131","14.5","","","","","","","","","","","3","3","1","2","0","","","","","","",""
"FD - Forza Dinamica - fuori sella ( 3 serie)","Bike","Le Ripetizioni di forza Dinamica (FD) Servono per abituare l'organismo a sforzi violenti a partire da diverse condizioni (pianura, salita, rapporto agile e rapporto duro). L'analisi dei tracciati di gara ha mostrato che anche in gare considerate performance ad intensità costante, come le cronometro, in realtà sono costellate da una moltitudine di brevi impulsi ad alto impegno di forza (in gare lunghe tipo IM e GF si sono contati fino a 200 di questi episodi!!). Non allenare queste espressioni di forza significa trovarsi in una condizione sfavorevole nel fine gara che impedisce di finalizzare una gara di ciclismo o di correre al meglio la maratona, nel caso dell'Ironman. La parte centrale dell'allenamento è costituita da tre serie costituite da 5 ripetizioni da 10"", ad ogni ripetizione si recupera 1', mentre al termine di ogni serie si recupera 3'. Le ripetute vanno eseguite in piedi suoi pedali. Come se eseguono: L'esecuzione prevede che si raggiungano le massime RPM e di conseguenza la massima potenzza consentite dal rapporto indicato, nel tempo indicato. In questo tipo di allenamento non è possibile basare l'intensità sulla frequenza cardiaca poiché il ritardo nell'aumento dei battiti non permette di verificare la correttezza dell'impegno. Essendo comunque massimali non si pone il problema e se non si dispone di un powermeter ci si basa su una percezione su scala RPE da 1 a 10 a circa 8-9. Dopo ogni serie si recupera per 5' 1° Ripetuta 53x16 tempo 10"" rec. 1' Z1, sui pedali, partenza da fermo 2° Ripetuta 53x18 tempo 10"" rec. 1' Z1, sui pedali, partenza da fermo, in piano 3° Ripetuta 53x17 tempo 10"" rec. 1' Z1, sui pedali, partenza da 25km/h, in piano 4° Ripetuta 53x17 tempo 10"" rec. 1' Z1, sui pedali, partenza da 30km/h, in piano 5° Ripetuta 53x13 tempo 10"" rec. 1' Z1, sui pedali, partenza da 30km/h, in piano","1","","2020-09-05","INDICAZIONI NUTRIZIONALI https://drive.google.com/open?id=1BQ2O7Sn_zXXGItH3OuB16vuzDNWyBEKr ------------------------------------------- DA ESEGUIRE DOPO ALLENAMENTO Flessibilmente versione completa http://vimeo.com/109963333 Flessibilmente versione ridotta http://vimeo.com/109942721","34082.44140625","197","625","651.011","","0.917046666145325","10.3240003585815","","73","","134","161","","","0.829390594945205","62.35","37","8","7","3","0","","","","","","12","37","0","0","0","5","","","","","",""
"Running","Run","","1.66666666666667","22000","2020-09-06","","19625.83984375","309","396","1678.302","","1.50674617290497","3.61699960260781","","89","","148","159","","","0.886366292627784","117.52","3","21","59","6","0","","","","","","0","42","46","4","0","0","0","","","","",""
"Running","Run","","","","2020-09-06","","19610","280","394","1717.868","","1.70111107826233","3.39199995994568","","86","","","","","","0.858896784195759","125.08","","","","","","","","","","","1","64","28","1","0","","","","","","",""
"Running","Run","","","","2020-09-06","","2175.90991210938","309","351","181.71","","0.162771120667458","3.71300005912781","","88","","149","158","","","0.893810122106056","12.63","1","2","6","1","0","","","","","","0","5","5","0","0","","","","","","",""
"Prep Phase 1 Week 2","Other","","","","2020-09-07","If you haven’t already, read our ""Getting Started Guide"" below. https://support.myprocoach.net/hc/en-us/articles/360004621731 Included with your training plan you have access to our Support Centre below. https://myprocoach-help.zendesk.com/hc/en-us We use a system of 5 Training Zones, which you can learn about here: http://www.myprocoach.net/uploads/1/3/3/8/13384839/training_intensity_zones.pdf For the duration of your plan, you can email our coaching team, click below to find out more: https://support.myprocoach.net/hc/en-us/articles/360000529751","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Speed Workout Run 2x[2min soglia 4min FL] + 1min vo2max","Run","Warm Up: 12 mins easy in Z2, 3 x (30 secs in Z4 + 30 sec recoveries in Z1-2). Main Set: 2 x (2 mins in Z4 + 4 mins in Z2), 1 min in Z5. Warm Down: 5 mins in Z2.","0.55","","2020-09-07","Speed workouts will develop your leg speed and running economy. Over time, they will teach your body to cope with the demands of running faster.","8029.33984375","315","496","682.307","","0.601653277873993","3.70700001716614","","90","","149","174","","","0.911921234159001","49.68","7","8","7","10","4","","","","","","1","17","10","4","2","2","1","","","","",""
"Running","Run","","","","2020-09-07","","8220","286","496","714.85","","0.692222237586975","3.33699989318848","","85","","","","","","0.883162804409733","53.37","","","","","","","","","","","2","20","9","4","1","","","","","","",""
"Speed Workout Bike","Bike","Warm Up: 10 mins easy in Z2, 5 x (10 secs in Z4 + 50 secs in Z2). Main Set: 8 x (1 min in Z4 + 90 sec recoveries in Z2). Warm Down: 5 mins in Z2.","0.666666666666667","","2020-09-08","Speed workouts will develop your power, economy and skill. Over time, they will prepare your body for the demands of pedalling harder and faster.","21844.55078125","211","394","506.079","","0.667482793331146","9.09099960327148","","78","","143","169","","","0.827684206229356","45.22","18","10","3","6","4","","","","","","1","27","1","3","6","2","","","","","",""
"Prep Phase 1: Strength and Conditioning #1","Strength","Please check the link below for full exercise instructions, progressions, alternatives and videos: https://www.myprocoach.net/wp-content/uploads/SC-Triathlon.pdf Whole Body Strength: 1. Squat: 2 x 12 (Exercise 1) 2. Alternate Lunge: 2 x 8 (Exercise 5) 3. Single Leg Squat: 2 x 6 (Exercise 3) 4. Reverse Lunge: 2 x 6 (Exercise 6) 5. Bent Over Row: 2 x 12 (Exercise 12) 6. Push Up: 2 x 12 (Exercise 13) 7. Glute Bridge: 2 x 12 (Exercise 18) 8. Bird Dog: 2 x 7 (Exercise 19) 9. Plank: 2 reps (Exercise 21) 10. Reverse Crunch: 2 x 12 (Exercise 28) Flexibility: 5-10 minutes Notes: 1. 2 x 12 = 2 sets of 12 repetitions with a rest between sets. 2. Rests are 20-40 secs. 3. When an exercise alternates right and left, the right PLUS left movement is 1 rep. 4. For unilateral exercises, perform reps on the right, then repeat on the left. Then move to next set. 5. Breathe out on exertion and maintain form throughout. 6. For flexibility see the link below or choose stretches that work well for you.","0.666666666666667","","2020-09-08","Prep Phase: The goal of the Preparation phase is to develop neuromuscular efficiency, stability and functional strength. Resistance during the Prep Phase: Fairly light weights to enable you to adopt and maintain correct form throughout. If your muscles burn at the end of a set then you are lifting too heavy for this phase. Perform strength and conditioning once or twice each week. Avoid the ‘no pain, no gain’ thinking. Strength will compliment your training making you more powerful, less prone to injury and help you focus on range of movement required for all three disciplines. It should not inhibit your subsequent workouts.","0","","","","","0.583718299865723","0","","","","91","130","","","0.567298499258086","20.53","6","0","0","0","0","","","","","","","","","","","","","","","","",""
"VIDEO: About Cycling Intensity Zones","Custom","About Cycling Intensity Zones: https://bit.ly/BikeIntensity","","","2020-09-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Endurance Bike","Bike","Warm Up: 10 mins in Z2, 5 x (20 secs in Z3 + 40 secs in low Z2). Main Set: 4 x (8 mins in upper Z2 + 60 sec recoveries in low Z2). Warm Down: 5 mins in low Z2.","0.933333333333333","","2020-09-09","This workout works well on an indoor bike trainer; you can also do it outside. It's not supposed to be high intensity, so keep a lid on this one. You will improve your fat-burning and efficiency.","32776.921875","199","322","681.228","","0.952364444732666","9.5600004196167","","74","","137","147","","","0.714815625131628","48.22","29","28","0","0","0","","","","","","2","36","18","1","0","0","","","","","",""
"Easy Run","Run","Easy/steady run in Z2. You can do this run straight after the bike if it is more time efficient for you. You can also do them as separate workouts.","0.5","","2020-09-09","Phil’s Training Tip: Don't panic if you cannot complete 100% of your workouts. Do your best to stick to your plan, while accepting that occasionally life gets in the way. Following a plan will help you train more effectively than not having a plan at all. Do your best with whatever time and resources you have, and don't give up. Don't worry about one bad week, it’s what you do consistently over a period of months that counts.","6875.3701171875","323","382","594.506","","0.510954201221466","3.73799991607666","","88","","135","170","","","0.92685053081807","43.14","6","2","3","9","3","","","","","","0","5","16","9","1","1","0","","","","",""
"VIDEO: Measuring Your Run Intensity","Custom","Measuring Your Run Intensity: https://bit.ly/RunIntensity","","","2020-09-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIDEO: When to Eat Around Training","Custom","When to Eat Around Training: https://bit.ly/EatingAndTraining","","","2020-09-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rest Day","Day Off","","","","2020-09-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Commute","Bike","","","","2020-09-10","","39192.66015625","200","571","973.671","","1.37042438983917","7.94399976730347","","72","","128","155","","","0.787290882556141","84.23","68","8","5","0","0","","","","","","15","36","18","7","1","4","","","","","",""
"Commute","Bike","","","","2020-09-10","","28541.369140625","172","551","636.145","","1.03633248806","7.65000009536743","","68","","127","153","","","0.671279507964293","46.57","53","5","1","0","0","","","","","","17","30","10","2","1","2","","","","","",""
"Prep Phase 1: Strength and Conditioning #2 + elastic bands","Strength","Please check the link below for full exercise instructions, progressions, alternatives and videos: https://www.myprocoach.net/wp-content/uploads/SC-Triathlon.pdf Whole Body Strength: 1. Squat: 2 x 12 (Exercise 1) 2. Step Up: 2 x 7 (Exercise 7) 3. Single Leg Squat: 2 x 6 (Exercise 3) 4. Lat & Front Raise Combo: 2 x 8 (Exercise 11) 5. Bent Over Row: 2 x 12 (Exercise 12) 6. Dumbbell Pullover: 2 x 12 (Exercise 15) 7. Tricep Dip: 2 x 10 (Exercise 17) 8. Lying Hip Abduction: 2 x 10 (Exercise 20) 9. Plank: 2 reps (Exercise 21) 10. Spider Climber: 2 x 7 (Exercise 25) Flexibility: 5-10 minutes Notes: 1. 2 x 12 = 2 sets of 12 repetitions with a rest between sets. 2. Rests are 20-40 secs. 3. When an exercise alternates right and left, the right PLUS left movement is 1 rep. 4. For unilateral exercises, perform reps on the right, then repeat on the left. Then move to next set. 5. Breathe out on exertion and maintain form throughout. 6. For flexibility see the link below or choose stretches that work well for you.","1.33333333333333","","2020-09-11","Prep Phase: The goal of the Preparation phase is to develop neuromuscular efficiency, stability and functional strength. Resistance during the Prep Phase: Fairly light weights to enable you to adopt and maintain correct form throughout. If your muscles burn at the end of a set then you are lifting too heavy for this phase. Perform strength and conditioning once or twice each week. Avoid the ‘no pain, no gain’ thinking. Strength will compliment your training making you more powerful, less prone to injury and help you focus on range of movement required for all three disciplines. It should not inhibit your subsequent workouts.","0","","","","","1.30423212051392","0","","","","89","137","","","0.560274667501377","45.64","13","0","0","0","0","","","","","","","","","","","","","","","","",""
"VIDEO: Measuring Your Swim Intensity","Custom","Measuring intensity for your swim sessions: https://bit.ly/SwimIntensity","","","2020-09-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIDEO: Use MyProCoach Training Zones","Custom","Use MyProCoach Training Zones: https://bit.ly/MyProCoachTrainingZones","","","2020-09-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Endurance Ride","Bike","Ride mainly in Z2 today. Don't stress if you're not in Z2 100% of the time - just try and do most of these workouts at around Z2 intensity.","1.5","","2020-09-12","Phil’s Training Tip: Don't feel you need to do all your workouts alone. If you enjoy doing club or group workouts, you can still incorporate these into your training plan. In fact, it's a good idea. Just make sure that your group workouts replace similar types of workouts from your training plan. For example, you might swap solo speed work for a group/coached session. Or an aerobic endurance workout can be done with your club/team or workout buddies.","48722.48828125","202","295","1093.936","","1.50170278549194","9.01200008392334","","74","","137","149","","","0.724580696734957","78.46","49","41","0","0","0","","","","","","0","65","24","0","0","0","","","","","",""
"Aerobic Endurance Run","Run","A nice steady run, mainly in Z1-Z2.","0.833333333333333","","2020-09-13","Phil’s Training Tip: Don't feel you need to do all your workouts alone. If you enjoy doing club or group workouts, you can still incorporate these into your training plan. In fact, it's a good idea. Just make sure that your group workouts replace similar types of workouts from your training plan. For example, you might swap solo speed work for a group/coached session. Or an aerobic endurance workout can be done with your club/team or workout buddies.","11077.259765625","314","377","942.115","","0.833568871021271","3.69099998474121","","90","","154","167","","","0.898721060629556","66.89","1","5","17","23","4","","","","","","0","15","33","4","0","0","0","","","","",""
"Prep Phase 1 Week 3","Other","","","","2020-09-14","If you haven’t already, read our ""Getting Started Guide"" below. https://support.myprocoach.net/hc/en-us/articles/360004621731 Included with your training plan you have access to our Support Centre below. https://myprocoach-help.zendesk.com/hc/en-us We use a system of 5 Training Zones, which you can learn about here: http://www.myprocoach.net/uploads/1/3/3/8/13384839/training_intensity_zones.pdf For the duration of your plan, you can email our coaching team, click below to find out more: https://support.myprocoach.net/hc/en-us/articles/360000529751","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Speed Workout Run - 4x1min","Run","Warm Up: 10 mins easy in Z2, 5 x (20 secs in Z5 + 40 sec recoveries in Z1). Main Set: 4 x (1 min in Z4-5 + 2 min recoveries in Z1-2). Warm Down: 10 mins easy, slow jog in Z2.","0.616666666666667","","2020-09-14","","8711.3701171875","305","436","745.227","","0.67748749256134","3.57200002670288","","88","","155","179","","","0.907492018873722","55.2","1","5","15","12","8","","","","","","7","11","13","2","0","6","1","","","","",""
"Speed Workout Bike - 3x3min Z4","Bike","Warm Up: 10 mins easy in Z2. 5 x (10 secs in Z4-5 + 50 secs easy in Z2). Main Set: 3 x (3 mins in upper Z4 + 3 min recoveries in low Z2). Warm Down: 10 mins in Z2.","0.716666666666667","","2020-09-15","","23011.509765625","210","418","552.984","","0.733786940574646","8.71100044250488","","74","","144","176","","","0.798387976730764","46.36","17","7","9","4","6","","","","","","2","30","3","4","5","0","","","","","",""
"Prep Phase 1: Strength and Conditioning #1","Strength","Please check the link below for full exercise instructions, progressions, alternatives and videos: https://www.myprocoach.net/wp-content/uploads/SC-Triathlon.pdf Whole Body Strength: 1. Squat: 2 x 12 (Exercise 1) 2. Alternate Lunge: 2 x 8 (Exercise 5) 3. Single Leg Squat: 2 x 6 (Exercise 3) 4. Reverse Lunge: 2 x 6 (Exercise 6) 5. Bent Over Row: 2 x 12 (Exercise 12) 6. Push Up: 2 x 12 (Exercise 13) 7. Glute Bridge: 2 x 12 (Exercise 18) 8. Bird Dog: 2 x 7 (Exercise 19) 9. Plank: 2 reps (Exercise 21) 10. Reverse Crunch: 2 x 12 (Exercise 28) Flexibility: 5-10 minutes Notes: 1. 2 x 12 = 2 sets of 12 repetitions with a rest between sets. 2. Rests are 20-40 secs. 3. When an exercise alternates right and left, the right PLUS left movement is 1 rep. 4. For unilateral exercises, perform reps on the right, then repeat on the left. Then move to next set. 5. Breathe out on exertion and maintain form throughout. 6. For flexibility see the link below or choose stretches that work well for you.","0.666666666666667","","2020-09-15","Prep Phase: The goal of the Preparation phase is to develop neuromuscular efficiency, stability and functional strength. Resistance during the Prep Phase: Fairly light weights to enable you to adopt and maintain correct form throughout. If your muscles burn at the end of a set then you are lifting too heavy for this phase. Perform strength and conditioning once or twice each week. Avoid the ‘no pain, no gain’ thinking. Strength will compliment your training making you more powerful, less prone to injury and help you focus on range of movement required for all three disciplines. It should not inhibit your subsequent workouts.","0","","","","","0.757105588912964","0","","","","93","138","","","0.567432259526507","26.82","9","0","0","0","0","","","","","","","","","","","","","","","","",""
"VIDEO: Exporting Your Workouts","Custom","Exporting Your Workouts https://bit.ly/ExportWorkouts Check this article for TrainingPeaks: http://bit.ly/StructuredWorkoutExport And our Help Centre Guide: http://bit.ly/SyncYourDevice","","","2020-09-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rest Day","Day Off","","","","2020-09-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Endurance Bike","Bike","Warm Up: 10 mins in Z2, 5 x (30 secs in upper Z2 + 30 secs in low Z2). Main Set: 15 mins in upper Z2 + 90 secs recovery in low Z2, 12 mins in upper Z2 + 90 secs recovery in low Z2, 10 mins in top end Z2. Warm Down: 5 mins in low Z2","1","","2020-09-17","","32447.7109375","204","364","760.279","","1.03532135486603","8.70600032806396","","74","","136","148","","","0.736900077734408","55.69","39","23","0","0","0","","","","","","1","35","24","1","0","0","0","","","","",""
"Easy Run","Run","Easy/steady run in Z2.","0.5","","2020-09-17","","7134.10986328125","328","403","594.414","","0.502773880958557","3.94199991226196","","90","","162","174","","","0.96844723484601","46.44","0","0","2","14","14","","","","","","0","2","16","11","2","1","0","","","","",""
"Prep Phase 1: Strength and Conditioning #2","Strength","Please check the link below for full exercise instructions, progressions, alternatives and videos: https://www.myprocoach.net/wp-content/uploads/SC-Triathlon.pdf Whole Body Strength: 1. Squat: 2 x 12 (Exercise 1) 2. Step Up: 2 x 7 (Exercise 7) 3. Single Leg Squat: 2 x 6 (Exercise 3) 4. Lat & Front Raise Combo: 2 x 8 (Exercise 11) 5. Bent Over Row: 2 x 12 (Exercise 12) 6. Dumbbell Pullover: 2 x 12 (Exercise 15) 7. Tricep Dip: 2 x 10 (Exercise 17) 8. Lying Hip Abduction: 2 x 10 (Exercise 20) 9. Plank: 2 reps (Exercise 21) 10. Spider Climber: 2 x 7 (Exercise 25) Flexibility: 5-10 minutes Notes: 1. 2 x 12 = 2 sets of 12 repetitions with a rest between sets. 2. Rests are 20-40 secs. 3. When an exercise alternates right and left, the right PLUS left movement is 1 rep. 4. For unilateral exercises, perform reps on the right, then repeat on the left. Then move to next set. 5. Breathe out on exertion and maintain form throughout. 6. For flexibility see the link below or choose stretches that work well for you.","0.833333333333333","","2020-09-18","Prep Phase: The goal of the Preparation phase is to develop neuromuscular efficiency, stability and functional strength. Resistance during the Prep Phase: Fairly light weights to enable you to adopt and maintain correct form throughout. If your muscles burn at the end of a set then you are lifting too heavy for this phase. Perform strength and conditioning once or twice each week. Avoid the ‘no pain, no gain’ thinking. Strength will compliment your training making you more powerful, less prone to injury and help you focus on range of movement required for all three disciplines. It should not inhibit your subsequent workouts.","0","","","","","0.884261667728424","0","","","","78","121","","","0.538678832790374","28.34","4","0","0","0","0","","","","","","","","","","","","","","","","",""
"Strength - elastici nuoto","Strength","","","","2020-09-18","","0","","","","","0.289315819740295","0","","","","88","112","","","0.567369063469763","10.01","0","0","0","0","0","","","","","","","","","","","","","","","","",""
"VIDEO: Fuelling Long Workouts","Custom","Check this video for more: https://bit.ly/FuellingLongWorkouts","","","2020-09-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Endurance Ride","Bike","Ride mainly in Z2 today.","1.75","","2020-09-19","Phil’s Training Tip: Riding indoors is a little harder than riding outside, because there is no momentum, freewheeling or stops. For this reason, when you are on the trainer you can reduce the long weekend sessions by 10-15% and you'll get close to the same benefit as riding the full duration outside.","47977.46875","202","286","1284.47","","1.76410889625549","7.55499982833862","","73","","136","150","","","0.724874945168184","92.29","84","21","0","0","0","","","","","","1","86","19","0","0","0","0","","","","",""
"Aerobic Endurance Run","Run","A nice steady run, mainly in Z1-Z2.","0.916666666666667","","2020-09-20","","12053.4599609375","304","381","1006.43","","0.917729437351227","3.64800000190735","","89","","152","169","","","0.89763596284813","73.25","1","2","32","18","2","","","","","","0","37","18","2","0","0","0","","","","",""
"Prep Phase 1 Week 4. Active Recovery.","Other","It's vital to make the most of these recovery weeks, as this training plan will get tougher and tougher as it goes on. You need to fully recover and start each new training phase feeling fresh and eager to train hard. There is enough training during the recovery weeks so that you won't lose fitness.","","","2020-09-21","If you haven’t already, read our ""Getting Started Guide"" below. https://support.myprocoach.net/hc/en-us/articles/360004621731 Included with your training plan you have access to our Support Centre below. https://myprocoach-help.zendesk.com/hc/en-us We use a system of 5 Training Zones, which you can learn about here: http://www.myprocoach.net/uploads/1/3/3/8/13384839/training_intensity_zones.pdf For the duration of your plan, you can email our coaching team, click below to find out more: https://support.myprocoach.net/hc/en-us/articles/360000529751","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIDEO: First Recovery Week","Other","Check Phil's Short Video on Recovery: https://bit.ly/RecoveryWk1","","","2020-09-21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rest Day","Day Off","","","","2020-09-21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIDEO: Printing Swim Workouts","Custom","How to print your swim workouts: https://bit.ly/SwimPrint","","","2020-09-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nutrition in Training","Custom","Nutrition in Training: https://myprocoach-help.zendesk.com/hc/en-us/articles/360022206491-Nutrition-in-Training Please email us if you have any comments or feedback that may help improve your training experience: info@myprocoach.net","","","2020-09-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
